iter	RMSE
0	0.7925689276
1	0.7776398546
2	0.7635548629
3	0.7498147635
4	0.7365488626
5	0.7237017693
6	0.7112403679
7	0.699968044
8	0.6885288804
9	0.6775166733
10	0.6673054609
11	0.657033229
12	0.6471396606
13	0.637485161
14	0.6284586337
15	0.6195516915
16	0.6109392346
17	0.6029663383
18	0.5952224182
19	0.587679422
20	0.5803477302
21	0.5734020928
22	0.5668357304
23	0.5604557161
24	0.5540701125
25	0.5482387889
26	0.5424531014
27	0.5368939187
28	0.5315846562
29	0.526450917
30	0.5218051536
31	0.5171610749
32	0.5126864689
33	0.508389783
34	0.5041667505
35	0.500190176
36	0.496263963
37	0.4927138659
38	0.4891051522
39	0.4859157406
40	0.4828912172
41	0.4799644064
42	0.4770701337
43	0.4741132648
44	0.4714508798
45	0.4687022808
46	0.4662534131
47	0.4639108219
48	0.4616685254
49	0.4594363764
50	0.457319887
51	0.4554004334
52	0.4534193772
53	0.4514966529
54	0.4496560076
55	0.4478264777
56	0.4460953005
57	0.4444277516
58	0.4427163735
59	0.4411203873
60	0.4395629678
61	0.4380855784
62	0.4367077927
63	0.435449269
64	0.434280621
65	0.4330580947
66	0.4317854764
67	0.4306332738
68	0.4294446638
69	0.4283601451
70	0.4273450562
71	0.4264128083
72	0.4254406207
73	0.424445473
74	0.4234766257
75	0.4227243666
76	0.4219088229
77	0.4209752544
78	0.4200880418
79	0.4192316636
80	0.4185158344
81	0.4177772295
82	0.4169745895
83	0.4163086292
84	0.4156381569
85	0.414918825
86	0.414304945
87	0.4136607651
88	0.4131403302
89	0.4125076695
90	0.4119788297
91	0.4113331122
92	0.4108371485
93	0.4103256963
94	0.4098216087
95	0.4093472735
96	0.4089052542
97	0.4084795046
98	0.4079583372
99	0.4075736449
100	0.4071396785
101	0.4066808386
102	0.4062776773
103	0.4059219956
104	0.4054111992
105	0.4050688591
106	0.4046383344
107	0.4043213185
108	0.4039932682
109	0.403643372
110	0.4033586592
111	0.4030357494
112	0.4026181317
113	0.4023508861
114	0.4020354816
115	0.4016810174
116	0.4013587435
117	0.4010042865
118	0.4007176197
119	0.4003690503
120	0.4000710133
121	0.3997169599
122	0.3995038578
123	0.399202627
124	0.3988469476
125	0.3986359484
126	0.3984059404
127	0.397990827
128	0.3978068784
129	0.3975136607
130	0.3971958511
131	0.3969795385
132	0.3967772907
133	0.3964772608
134	0.3961678882
135	0.3958864511
136	0.3956678713
137	0.395467113
138	0.3952166965
139	0.3949526419
140	0.3946883306
141	0.3945120488
142	0.3943263355
143	0.3941573828
144	0.3939819489
145	0.3937835752
146	0.3935693929
147	0.3933389308
148	0.393198607
149	0.3930303859
150	0.3928895193
151	0.3926773158
152	0.3924734444
153	0.392263928
154	0.3920707673
155	0.3919521973
156	0.3917484998
157	0.3915925721
158	0.3913805917
159	0.3912341711
160	0.3910964837
161	0.3909528927
162	0.3907360968
163	0.3906357498
164	0.3904277449
165	0.3902033556
166	0.3900769492
167	0.3899540538
168	0.3897836527
169	0.3896530123
170	0.389461795
171	0.3893049024
172	0.3891981528
173	0.3890800556
174	0.3887628811
175	0.3886543687
176	0.3883584611
177	0.3882467267
178	0.3881370829
179	0.3880240939
180	0.3879369877
181	0.3878077907
182	0.3877026471
183	0.3875784406
184	0.387419423
185	0.3872709526
186	0.3871523546
187	0.3869815852
188	0.3868219976
189	0.386724035
190	0.3865785815
191	0.3864660772
192	0.3863481102
193	0.3862328166
194	0.3861053798
195	0.3859562993
196	0.385767177
197	0.3856490695
198	0.3854175386
199	0.3852624885
200	0.3851240992
201	0.3849966749
202	0.3848932576
203	0.3847706541
204	0.3846711177
205	0.3845697614
206	0.3843272008
207	0.3842075511
208	0.3841033108
209	0.3839583348
210	0.383860377
211	0.3836713341
212	0.3835751515
213	0.3834508377
