iter	Passed	Remaining
0	33	101913
1	66	99731
2	97	97319
3	131	98586
4	162	97501
5	193	96645
6	225	96305
7	260	97562
8	294	97789
9	327	97849
10	358	97487
11	390	97159
12	421	96890
13	455	97190
14	486	96822
15	528	98483
16	558	97934
17	591	97918
18	621	97506
19	652	97201
20	683	96909
21	711	96310
22	743	96181
23	774	96027
24	806	95942
25	838	95936
26	869	95785
27	902	95763
28	935	95847
29	972	96258
30	1003	96085
31	1034	95975
32	1067	95987
33	1105	96406
34	1137	96336
35	1173	96590
36	1207	96671
37	1240	96696
38	1274	96788
39	1309	96907
40	1342	96923
41	1375	96901
42	1411	97097
43	1443	96962
44	1475	96876
45	1507	96807
46	1542	96886
47	1573	96740
48	1610	96980
49	1638	96695
50	1669	96536
51	1702	96514
52	1736	96576
53	1768	96458
54	1802	96538
55	1833	96406
56	1865	96341
57	1896	96211
58	1929	96204
59	1965	96287
60	1999	96359
61	2031	96256
62	2063	96182
63	2100	96342
64	2133	96315
65	2163	96181
66	2193	96022
67	2225	95944
68	2260	96024
69	2291	95935
70	2324	95887
71	2358	95930
72	2390	95850
73	2421	95750
74	2454	95735
75	2486	95655
76	2517	95557
77	2550	95550
78	2582	95471
79	2615	95474
80	2647	95409
81	2677	95284
82	2711	95301
83	2738	95059
84	2771	95029
85	2799	94872
86	2828	94689
87	2857	94541
88	2883	94319
89	2911	94143
90	2938	93931
91	2966	93752
92	2994	93616
93	3024	93495
94	3053	93363
95	3085	93346
96	3116	93267
97	3170	93889
98	3213	94163
99	3242	94030
100	3271	93892
101	3313	94131
102	3341	93984
103	3369	93833
104	3398	93709
105	3430	93645
106	3463	93649
107	3491	93483
108	3517	93289
109	3547	93208
110	3575	93058
111	3604	92944
112	3632	92815
113	3661	92699
114	3691	92618
115	3720	92506
116	3760	92667
117	3788	92536
118	3816	92400
119	3860	92640
120	3889	92538
121	3917	92409
122	3959	92621
123	3989	92530
124	4019	92453
125	4048	92335
126	4076	92228
127	4107	92151
128	4135	92042
129	4164	91929
130	4194	91854
131	4223	91762
132	4265	91947
133	4293	91836
134	4324	91781
135	4353	91675
136	4381	91561
137	4412	91515
138	4441	91411
139	4472	91370
140	4498	91217
141	4525	91092
142	4556	91044
143	4585	90947
144	4614	90851
145	4642	90758
146	4670	90650
147	4713	90837
148	4755	90986
149	4782	90875
150	4810	90769
151	4839	90676
152	4870	90623
153	4899	90543
154	4927	90437
155	4955	90345
156	4982	90233
157	5012	90168
158	5043	90109
159	5072	90030
160	5100	89934
161	5128	89839
162	5157	89757
163	5184	89659
164	5214	89593
165	5242	89497
166	5270	89408
167	5298	89323
168	5327	89239
169	5356	89165
170	5399	89332
171	5427	89231
172	5454	89129
173	5481	89025
174	5511	88977
175	5539	88886
176	5567	88804
177	5597	88736
178	5624	88633
179	5650	88523
180	5677	88427
181	5707	88368
182	5736	88297
183	5763	88211
184	5791	88132
185	5819	88041
186	5848	87973
187	5878	87924
188	5908	87877
189	5936	87801
190	5966	87744
191	5995	87685
192	6042	87889
193	6071	87816
194	6111	87916
195	6139	87829
196	6167	87758
197	6197	87702
198	6225	87626
199	6255	87572
200	6283	87505
201	6312	87442
202	6343	87397
203	6371	87331
204	6402	87294
205	6447	87452
206	6519	87962
207	6546	87872
208	6573	87776
209	6601	87711
210	6630	87641
211	6661	87601
212	6690	87542
213	6718	87471
214	6747	87402
215	6776	87335
216	6804	87272
217	6832	87197
218	6862	87141
219	6890	87067
220	6917	86987
221	6947	86938
222	6976	86874
223	7004	86806
224	7046	86911
225	7076	86862
226	7105	86794
227	7146	86889
228	7175	86826
229	7205	86774
230	7233	86707
231	7261	86633
232	7290	86576
233	7319	86516
234	7348	86462
235	7377	86406
236	7408	86367
237	7438	86320
238	7464	86232
239	7491	86149
240	7519	86087
241	7550	86054
242	7579	85992
243	7608	85943
244	7636	85875
245	7665	85820
246	7696	85777
247	7724	85717
248	7752	85653
249	7780	85590
250	7810	85540
251	7838	85477
252	7867	85418
253	7895	85358
254	7923	85295
255	7951	85231
256	7981	85183
257	8009	85121
258	8037	85057
259	8065	84996
260	8093	84931
261	8121	84874
262	8151	84829
263	8180	84776
264	8208	84719
265	8238	84674
266	8251	84456
267	8279	84401
268	8308	84349
269	8336	84291
270	8365	84239
271	8396	84209
272	8426	84177
273	8453	84100
274	8480	84032
275	8506	83954
276	8534	83900
277	8564	83860
278	8593	83809
279	8622	83758
280	8651	83709
281	8679	83655
282	8708	83610
283	8735	83543
284	8764	83495
285	8794	83453
286	8836	83532
287	8865	83480
288	8893	83428
289	8921	83371
290	8950	83327
291	8981	83290
292	9008	83230
293	9036	83177
294	9065	83129
295	9094	83077
296	9123	83034
297	9152	82985
298	9180	82931
299	9208	82874
300	9236	82821
301	9264	82764
302	9293	82723
303	9322	82673
304	9349	82612
305	9381	82591
306	9412	82563
307	9419	82331
308	9449	82289
309	9476	82234
310	9503	82173
311	9529	82102
312	9556	82037
313	9591	82048
314	9621	82009
315	9649	81962
316	9678	81914
317	9723	82004
318	9750	81949
319	9779	81906
320	9822	81974
321	9850	81928
322	9878	81872
323	9906	81821
324	9936	81783
325	9965	81739
326	9995	81702
327	10024	81660
328	10055	81632
329	10083	81585
330	10111	81533
331	10140	81489
332	10170	81459
333	10198	81408
334	10227	81360
335	10257	81324
336	10285	81280
337	10326	81331
338	10356	81296
339	10389	81279
340	10418	81239
341	10446	81188
342	10474	81137
343	10501	81077
344	10528	81020
345	10558	80987
346	10587	80945
347	10617	80908
348	10645	80862
349	10674	80819
350	10701	80767
351	10730	80719
352	10759	80681
353	10790	80653
354	10818	80605
355	10847	80561
356	10859	80398
357	10888	80352
358	10916	80311
359	10946	80275
360	10974	80226
361	11016	80277
362	11046	80244
363	11053	80044
364	11098	80119
365	11125	80070
366	11154	80023
367	11181	79975
368	11212	79943
369	11240	79901
370	11269	79858
371	11299	79824
372	11327	79777
373	11360	79767
374	11390	79736
375	11417	79678
376	11445	79632
377	11474	79594
378	11501	79539
379	11530	79499
380	11559	79458
381	11587	79412
382	11615	79367
383	11646	79343
384	11674	79298
385	11702	79251
386	11731	79209
387	11759	79163
388	11788	79127
389	11817	79083
390	11846	79050
391	11874	79002
392	11902	78959
393	11932	78924
394	11961	78886
395	11989	78842
396	12018	78800
397	12047	78760
398	12075	78714
399	12103	78672
400	12132	78637
401	12161	78593
402	12189	78551
403	12220	78522
404	12257	78538
405	12270	78396
406	12307	78410
407	12337	78377
408	12370	78366
409	12399	78328
410	12430	78302
411	12461	78279
412	12488	78224
413	12515	78176
414	12542	78125
415	12576	78116
416	12605	78078
417	12633	78037
418	12663	78003
419	12704	78044
420	12732	77998
421	12760	77951
422	12789	77918
423	12818	77876
424	12845	77830
425	12876	77801
426	12914	77817
427	12943	77779
428	12971	77735
429	12999	77697
430	13029	77660
431	13056	77614
432	13084	77571
433	13113	77531
434	13141	77492
435	13171	77456
436	13200	77417
437	13227	77374
438	13261	77365
439	13301	77392
440	13330	77351
441	13361	77327
442	13397	77332
443	13423	77276
444	13450	77225
445	13476	77170
446	13503	77123
447	13517	77000
448	13546	76964
449	13575	76929
450	13604	76889
451	13633	76855
452	13663	76821
453	13692	76783
454	13721	76751
455	13750	76713
456	13779	76678
457	13807	76633
458	13836	76598
459	13864	76555
460	13892	76516
461	13921	76475
462	13949	76437
463	13979	76402
464	14007	76363
465	14036	76327
466	14065	76290
467	14094	76252
468	14123	76220
469	14153	76187
470	14195	76222
471	14223	76180
472	14250	76134
473	14281	76108
474	14309	76064
475	14338	76029
476	14369	76006
477	14398	75968
478	14428	75938
479	14457	75903
480	14485	75860
481	14515	75828
482	14543	75790
483	14572	75750
484	14600	75713
485	14628	75669
486	14655	75623
487	14683	75582
488	14711	75543
489	14740	75505
490	14768	75464
491	14799	75443
492	14828	75407
493	14856	75364
494	14883	75320
495	14910	75274
496	14938	75231
497	14966	75193
498	14995	75158
499	15024	75120
500	15052	75081
501	15082	75050
502	15110	75012
503	15139	74976
504	15167	74938
505	15196	74900
506	15225	74866
507	15263	74876
508	15291	74835
509	15320	74799
510	15360	74816
511	15388	74777
512	15414	74726
513	15442	74687
514	15468	74640
515	15496	74599
516	15525	74562
517	15555	74532
518	15584	74499
519	15612	74459
520	15654	74486
521	15682	74448
522	15710	74408
523	15739	74371
524	15767	74332
525	15795	74291
526	15823	74254
527	15852	74219
528	15881	74185
529	15910	74146
530	15938	74108
531	15966	74069
532	15993	74028
533	16022	73989
534	16051	73957
535	16091	73974
536	16119	73934
537	16163	73969
538	16192	73930
539	16220	73894
540	16248	73851
541	16276	73813
542	16305	73778
543	16336	73755
544	16367	73728
545	16396	73694
546	16422	73645
547	16449	73601
548	16476	73557
549	16504	73520
550	16533	73487
551	16563	73456
552	16592	73421
553	16621	73388
554	16649	73349
555	16678	73314
556	16707	73278
