iter	RMSE
0	527694.1081
1	511613.6157
2	496573.19
3	482626.2724
4	469497.3326
5	457091.6035
6	445338.5514
7	434005.5666
8	423883.2155
9	414084.5037
10	404796.0838
11	396050.6819
12	387937.4604
13	380412.2265
14	373445.3662
15	366863.3592
16	360575.9146
17	354996.9138
18	349139.3257
19	343916.0501
20	338917.1966
21	334095.886
22	329695.2422
23	325590.2728
24	321591.2993
25	317999.2149
26	314559.7961
27	311229.6345
28	308148.4101
29	305330.112
30	302511.2966
31	300006.9858
32	297500.943
33	295156.9092
34	292868.0008
35	290847.5409
36	289007.4147
37	287027.5911
38	285211.3702
39	283598.5176
40	281909.2721
41	280342.352
42	278867.7639
43	277388.3689
44	276029.8377
45	274745.2394
46	273495.2942
47	272083.259
48	270750.7278
49	269516.4827
50	268535.9222
51	267424.0977
52	266386.5069
53	265535.3842
54	264747.388
55	263857.3633
56	263069.101
57	262271.3182
58	261524.403
59	260718.254
60	259932.5529
61	259235.8424
62	258548.5183
63	257816.7264
64	257101.0654
65	256445.3385
66	255884.1299
67	255287.0077
68	254742.7424
69	254075.2188
70	253570.8287
71	253020.1749
72	252365.0644
73	251797.8869
74	251334.8743
75	250807.0573
76	250379.4817
77	249938.2502
78	249448.8746
79	248901.5501
80	248392.8097
81	248017.6353
82	247733.8312
83	247329.2163
84	246950.2005
85	246436.9698
86	246012.4558
87	245732.4007
88	245226.3246
89	244761.9333
90	244387.5917
91	244070.9033
92	243717.5387
93	243322.6853
94	242718.3366
95	242345.8778
96	242034.1471
97	241719.6029
98	241369.1251
99	241047.8466
100	240638.8677
101	240421.1293
102	240199.5355
103	239861.2808
104	239595.219
105	239406.5359
106	239289.349
107	239021.0232
108	238692.2609
109	238414.6843
110	238150.3242
111	237918.9746
112	237595.4986
113	237254.7459
114	236995.0128
115	236635.5019
116	236416.8618
117	236149.2044
118	235905.2173
119	235705.9779
120	235448.7381
121	235291.4371
122	235010.2234
123	234679.1856
124	234461.7706
125	234288.2842
126	233981.112
127	233729.1811
128	233466.0044
129	233251.7944
130	233096.7602
131	232770.5209
132	232673.6912
133	232347.6822
134	232071.0675
135	231860.3116
136	231551.9697
137	231383.0141
138	231046.2699
139	230850.6295
140	230734.3579
141	230578.0795
142	230431.265
143	230160.3959
144	229847.8307
145	229576.8637
146	229375.27
147	229161.856
148	228887.2471
149	228711.4774
150	228537.8129
151	228384.1533
152	228152.9861
153	228023.0292
154	227867.8117
155	227621.0153
156	227489.556
157	227224.262
158	227056.1324
159	226906.7484
160	226816.8013
161	226643.2172
162	226436.9583
163	226253.9602
164	226046.8999
165	225856.5051
166	225479.0881
167	225215.9944
168	224998.5404
169	224879.8179
170	224730.6169
171	224521.8863
172	224450.827
173	224132.3651
174	223927.1993
175	223590.1483
176	223493.4687
177	223220.6455
178	222959.6173
179	222654.1655
180	222502.703
181	222205.2205
182	222028.7836
183	221756.1353
184	221599.2784
185	221454.459
186	221206.8231
187	221014.1761
188	220888.4306
189	220695.3252
190	220534.2928
191	220212.3901
192	220076.1964
193	219972.8274
194	219736.559
195	219615.5354
196	219372.5549
197	219139.4945
198	218936.6206
199	218822.729
200	218606.6205
201	218364.8006
202	218259.4123
203	218075.7877
204	217873.6469
205	217797.6783
206	217698.3339
207	217521.2943
208	217401.7009
209	217266.4423
210	217024.1542
211	216869.6647
212	216803.5856
213	216691.712
214	216616.8588
215	216438.1664
216	216177.6309
217	215911.1385
218	215793.6499
219	215553.1119
220	215317.4472
221	215099.9286
222	214997.9476
223	214819.4067
224	214580.04
225	214326.1056
226	214133.3376
227	214009.7811
228	213878.8636
229	213618.9962
230	213530.1683
231	213446.6632
232	213299.2883
233	213199.976
234	213102.7671
235	213010.0102
236	212808.355
237	212705.8511
238	212465.9978
239	212308.7342
240	212194.2046
241	211973.0776
242	211767.2666
243	211660.4257
244	211540.8149
245	211460.4859
246	211347.1691
247	211131.474
248	210996.2869
249	210754.4387
250	210567.8707
251	210398.8383
252	210319.1339
253	210317.3957
254	210114.8171
255	210014.3081
256	209869.8095
257	209681.4707
258	209573.3375
259	209455.3866
260	209290.9295
261	209143.3117
262	209037.5287
263	208930.7062
264	208752.8996
265	208541.3018
266	208244.4097
267	208093.6561
268	208019.3896
269	207894.5949
270	207795.1015
271	207691.4743
272	207476.2685
273	207401.4399
274	207296.5841
275	207233.8041
276	206991.1579
277	206909.5546
278	206817.9017
279	206731.2703
280	206459.3519
281	206368.5367
282	206279.4703
283	206183.7117
284	206016.1833
285	205806.0742
286	205507.1727
287	205426.8989
288	205272.6649
289	205167.8762
290	205000.3619
291	204852.1852
292	204739.3367
293	204598.3702
294	204447.8968
295	204331.124
296	204211.2598
297	204121.2323
298	203964.2455
299	203799.7602
300	203640.8236
301	203515.7862
302	203355.1807
303	203229.6029
304	203098.7429
305	202984.4074
306	202882.8903
307	202750.924
308	202662.9241
309	202515.7836
310	202281.4847
311	202065.1121
312	201892.1949
313	201761.565
314	201679.2775
315	201555.9131
316	201443.6391
317	201362.8382
318	201210.8726
319	201087.2406
320	200922.3786
321	200746.0486
322	200658.3615
323	200529.7878
324	200426.7189
325	200351.4251
326	200264.2985
327	200202.1891
328	200117.1689
329	200037.8018
330	199895.2243
331	199829.2675
332	199687.0117
333	199554.0516
334	199445.2596
335	199241.3281
336	199088.1354
337	198882.2095
338	198639.2413
339	198591.7307
340	198488.2968
341	198399.6302
342	198268.0867
343	198148.6381
344	197988.3139
345	197899.2079
346	197755.2963
347	197601.3481
348	197523.719
349	197440.4507
350	197352.9166
351	197302.7686
352	197194.2859
353	197125.822
354	196959.5147
355	196750.6263
356	196639.0904
357	196463.6202
358	196357.7879
359	196268.2453
360	196067.7341
361	195958.5631
362	195716.5316
363	195653.7082
364	195478.91
365	195389.5495
366	195236.7411
367	195167.3863
368	195060.7807
369	194867.3367
370	194690.5496
371	194600.0047
372	194546.2449
373	194487.2887
374	194380.3484
375	194291.6875
376	194182.961
377	194078.4554
378	193990.0236
379	193898.3044
380	193663.2909
381	193605.8314
382	193534.8958
383	193385.3516
384	193271.5093
385	193113.298
386	193022.0306
387	192942.9618
388	192870.171
389	192783.3158
390	192639.5486
391	192460.674
392	192373.2373
393	192213.4135
394	192156.7328
395	192046.6744
396	191905.7951
397	191828.3851
398	191757.9598
399	191663.2454
400	191489.6973
401	191353.5217
402	191260.3734
403	191197.6074
404	191065.4521
405	191006.9268
406	190939.7257
407	190829.8889
408	190765.5491
409	190764.3754
410	190645.6027
411	190562.7448
412	190482.6607
413	190409.3022
414	190313.5866
415	190213.0323
416	190096.8518
417	189980.0492
418	189880.6499
419	189732.909
420	189639.3431
421	189507.9936
422	189423.1128
423	189331.521
424	189259.4092
425	189209.5063
426	189084.3476
427	188958.5038
428	188785.2032
429	188710.322
430	188648.8549
431	188562.1772
432	188441.2345
433	188344.6617
434	188268.141
435	188137.4348
436	188056.1896
437	187975.8725
438	187901.233
439	187799.5063
440	187711.4775
441	187644.6413
442	187520.1692
443	187440.544
444	187346.4476
445	187287.0932
446	187231.094
447	187162.5606
448	187073.6463
449	186997.7496
450	186940.4248
451	186760.7926
452	186703.3037
453	186610.869
454	186500.7306
455	186392.851
456	186301.5011
457	186236.5534
458	186128.3189
459	186058.4382
460	186018.8047
461	185887.0157
462	185790.6849
463	185646.6805
464	185528.5719
465	185444.9705
466	185364.8395
467	185290.9753
468	185265.2789
469	185175.7049
470	185080.2142
471	185019.0112
472	184893.2318
473	184852.4361
474	184754.0678
475	184597.5697
476	184551.2237
477	184454.3772
478	184345.0046
479	184274.91
480	184150.9453
481	184071.6868
482	183985.3847
483	183835.0865
484	183768.3287
485	183634.0609
486	183477.7448
487	183380.3532
488	183299.0324
489	183204.7228
490	183150.3054
491	183108.6122
492	182994.2218
493	182896.9556
494	182835.0676
495	182727.5652
496	182548.8521
497	182434.4647
498	182334.8521
499	182249.0424
500	182205.1954
501	182141.0147
502	182087.8133
503	181993.3658
504	181881.2824
505	181803.1876
506	181725.2363
507	181647.8175
508	181597.6325
509	181552.4969
510	181470.2586
511	181410.1757
512	181287.3345
513	181245.4508
514	181130.1058
515	181066.1308
516	181007.5844
517	180937.6922
518	180877.3293
519	180804.6553
520	180757.3874
521	180693.4495
522	180635.9158
523	180611.7116
524	180540.0034
525	180425.679
526	180347.4063
527	180205.2316
528	180147.1757
529	180060.9789
530	179984.3952
531	179835.4161
532	179720.892
533	179610.9675
534	179544.7195
535	179425.786
536	179363.2216
537	179301.0722
538	179167.754
539	179065.7825
540	178995.4049
541	178940.8023
542	178840.8853
543	178801.9548
544	178708.3656
545	178652.231
546	178588.8995
547	178475.3245
548	178415.2036
549	178337.9481
550	178236.6547
551	178192.9733
552	178129.8378
553	178079.3795
554	178003.8007
555	177907.6164
556	177860.7291
557	177809.874
558	177710.0052
559	177684.0078
560	177606.5791
561	177549.5995
562	177511.2607
563	177443.1511
564	177301.815
565	177248.0181
566	177140.5852
567	177043.0932
568	176943.8761
569	176877.6859
570	176837.4967
571	176740.0887
572	176646.5618
573	176602.0511
574	176542.9307
575	176467.8686
576	176421.4137
577	176322.3516
578	176236.1073
579	176157.7389
580	176090.165
581	176039.6314
582	175918.9025
583	175838.8533
584	175755.6248
585	175704.4396
586	175634.6835
587	175582.3519
588	175528.8477
589	175430.5474
590	175366.7804
591	175336.1611
592	175278.74
593	175196.2811
594	175117.9678
595	175077.6889
596	174989.4742
597	174902.131
598	174785.5321
599	174738.4183
600	174666.9844
601	174537.0739
602	174489.3341
603	174428.2633
604	174354.8372
605	174251.525
606	174218.5028
607	174180.1352
608	174110.2411
609	174037.5179
610	173988.3025
611	173899.7309
612	173859.0227
613	173784.3495
614	173708.1628
615	173659.6736
616	173543.6908
617	173483.4626
618	173414.9084
619	173381.9312
620	173248.6267
621	173203.4871
622	173128.9001
623	173087.0291
624	173036.4951
625	172954.8323
626	172849.8397
627	172699.3784
628	172612.0987
629	172559.4019
630	172460.5094
631	172389.6118
632	172322.2611
633	172252.6248
634	172196.0005
635	172132.8224
636	172038.1009
637	171970.1132
638	171930.3971
639	171814.8355
640	171767.6956
641	171725.8337
642	171677.6852
643	171625.1061
644	171576.6956
645	171400.2444
646	171324.983
647	171250.8715
648	171145.7407
649	171084.3067
650	171023.0344
651	170985.7262
652	170940.4308
653	170872.3312
654	170831.3308
655	170776.072
656	170726.9307
657	170638.0816
658	170605.8826
659	170466.3041
660	170428.4241
661	170368.6887
662	170307.2034
663	170224.5464
664	170177.8807
665	170077.0829
666	170043.1926
667	170008.5665
668	169966.9714
669	169909.2545
670	169879.4291
671	169845.0254
672	169818.0386
673	169766.0097
674	169704.9531
675	169623.0212
676	169581.5395
677	169463.0718
678	169415.2327
679	169325.4559
